Model,Order,MAE,MSE,RMSE,MAPE,Mean_Residual,Std_Residual
"ARIMA(2, 1, 2)","(2, 1, 2)",0.2429175839126451,0.59105060824249,0.7687981583240754,1.9400652928478659,0.10217792596674073,0.7619778734895294
"ARIMA(0, 1, 3)","(0, 1, 3)",0.24265416995069292,0.5919337254665551,0.7693722931497826,1.9395043956134495,0.10045385802458652,0.7627861744122867
"ARIMA(1, 1, 2)","(1, 1, 2)",0.24276826177127384,0.5919518000784803,0.7693840393967634,1.93965136689893,0.1005652735720302,0.7627833413426535
"ARIMA(3, 1, 0)","(3, 1, 0)",0.24277445101982892,0.5919551502912628,0.7693862165981808,1.9396590754838592,0.10050404128478449,0.7627936077188174
"ARIMA(2, 1, 1)","(2, 1, 1)",0.2427730757844452,0.5919552150531893,0.7693862586849269,1.939674765814173,0.10047734688070645,0.7627971668910442
"ARIMA(2, 1, 0)","(2, 1, 0)",0.24276989410495753,0.591955389767731,0.7693863722264198,1.939705618334566,0.10042696137875007,0.7628039166102663
"ARIMA(1, 1, 1)","(1, 1, 1)",0.24275858118684981,0.5919651789904544,0.7693927339080181,1.9397173623748463,0.10022186834304066,0.7628373064397707
"ARIMA(0, 1, 2)","(0, 1, 2)",0.24271399970485039,0.5920217876644531,0.7694295209208268,1.9380048576188418,0.1023104948986918,0.7625971087658527
"ARIMA(1, 1, 0)","(1, 1, 0)",0.24286367532173417,0.592097166328809,0.7694785028373496,1.938612963415035,0.10253304576438353,0.7626166408196767
"ARIMA(0, 1, 1)","(0, 1, 1)",0.24244557233067568,0.5924808945733673,0.7697278055087833,1.9359034980124668,0.10582759817123585,0.762418135958658
"ARIMA(0, 1, 0)","(0, 1, 0)",0.24361201854260733,0.5954498296437557,0.7716539571879066,1.9526573727523984,0.11523245681071634,0.7630015141145673
